# Surface topography
# POINTS: 2001
386000 610
386250 605
386500 600
386750 595
387000 590
387250 585
387500 580
387750 575
388000 570
388250 565
388500 560
388750 555
389000 550
389250 545
389500 540
389750 535
390000 530
390250 522.5
390500 515
390750 507.5
391000 500
391250 495
391500 490
391750 485
392000 480
392250 475
392500 470
392750 465
393000 460
393250 455
393500 450
393750 445
394000 440
394250 435
394500 430
394750 425
395000 420
395250 417.5
395500 415
395750 412.5
396000 410
396250 405
396500 400
396750 395
397000 390
397250 385
397500 380
397750 375
398000 370
398250 365
398500 360
398750 355
399000 350
399250 345
399500 340
399750 335
400000 330
400250 325
400500 320
400750 315
401000 310
401250 305
401500 300
401750 295
402000 290
402250 287.5
402500 285
402750 282.5
403000 280
403250 275
403500 270
403750 265
404000 260
404250 257.5
404500 255
404750 252.5
405000 250
405250 245
405500 240
405750 235
406000 230
406250 225
406500 220
406750 215
407000 210
407250 207.5
407500 205
407750 202.5
408000 200
408250 195
408500 190
408750 185
409000 180
409250 175
409500 170
409750 165
410000 160
410250 157.5
410500 155
410750 152.5
411000 150
411250 145
411500 140
411750 135
412000 130
412250 125
412500 120
412750 115
413000 110
413250 107.5
413500 105
413750 102.5
414000 100
414250 95
414500 90
414750 85
415000 80
415250 77.5
415500 75
415750 72.5
416000 70
416250 65
416500 60
416750 55
417000 50
417250 47.5
417500 45
417750 42.5
418000 40
418250 37.5
418500 35
418750 32.5
419000 30
419250 25
419500 20
419750 15
420000 10
420250 7.5
420500 5
420750 2.5
421000 0
421250 -2.5
421500 -5
421750 -7.5
422000 -10
422250 -15
422500 -20
422750 -25
423000 -30
423250 -32.5
423500 -35
423750 -37.5
424000 -40
424250 -42.5
424500 -45
424750 -47.5
425000 -50
425250 -55
425500 -60
425750 -65
426000 -70
426250 -72.5
426500 -75
426750 -77.5
427000 -80
427250 -82.5
427500 -85
427750 -87.5
428000 -90
428250 -92.5
428500 -95
428750 -97.5
429000 -100
429250 -105
429500 -110
429750 -115
430000 -120
430250 -122.5
430500 -125
430750 -127.5
431000 -130
431250 -132.5
431500 -135
431750 -137.5
432000 -140
432250 -142.5
432500 -145
432750 -147.5
433000 -150
433250 -155
433500 -160
433750 -165
434000 -170
434250 -172.5
434500 -175
434750 -177.5
435000 -180
435250 -182.5
435500 -185
435750 -187.5
436000 -190
436250 -192.5
436500 -195
436750 -197.5
437000 -200
437250 -202.5
437500 -205
437750 -207.5
438000 -210
438250 -212.5
438500 -215
438750 -217.5
439000 -220
439250 -222.5
439500 -225
439750 -227.5
440000 -230
440250 -232.5
440500 -235
440750 -237.5
441000 -240
441250 -242.5
441500 -245
441750 -247.5
442000 -250
442250 -252.5
442500 -255
442750 -257.5
443000 -260
443250 -260
443500 -260
443750 -260
444000 -260
444250 -262.5
444500 -265
444750 -267.5
445000 -270
445250 -272.5
445500 -275
445750 -277.5
446000 -280
446250 -282.5
446500 -285
446750 -287.5
447000 -290
447250 -292.5
447500 -295
447750 -297.5
448000 -300
448250 -302.5
448500 -305
448750 -307.5
449000 -310
449250 -312.5
449500 -315
449750 -317.5
450000 -320
450250 -322.5
450500 -325
450750 -327.5
451000 -330
451250 -332.5
451500 -335
451750 -337.5
452000 -340
452250 -340
452500 -340
452750 -340
453000 -340
453250 -342.5
453500 -345
453750 -347.5
454000 -350
454250 -352.5
454500 -355
454750 -357.5
455000 -360
455250 -360
455500 -360
455750 -360
456000 -360
456250 -362.5
456500 -365
456750 -367.5
457000 -370
457250 -370
457500 -370
457750 -370
458000 -370
458250 -372.5
458500 -375
458750 -377.5
459000 -380
459250 -382.5
459500 -385
459750 -387.5
460000 -390
460250 -392.5
460500 -395
460750 -397.5
461000 -400
461250 -400
461500 -400
461750 -400
462000 -400
462250 -402.5
462500 -405
462750 -407.5
463000 -410
463250 -412.5
463500 -415
463750 -417.5
464000 -420
464250 -420
464500 -420
464750 -420
465000 -420
465250 -422.5
465500 -425
465750 -427.5
466000 -430
466250 -430
466500 -430
466750 -430
467000 -430
467250 -432.5
467500 -435
467750 -437.5
468000 -440
468250 -440
468500 -440
468750 -440
469000 -440
469250 -440
469500 -440
469750 -440
470000 -440
470250 -442.5
470500 -445
470750 -447.5
471000 -450
471250 -450
471500 -450
471750 -450
472000 -450
472250 -452.5
472500 -455
472750 -457.5
473000 -460
473250 -462.5
473500 -465
473750 -467.5
474000 -470
474250 -470
474500 -470
474750 -470
475000 -470
475250 -472.5
475500 -475
475750 -477.5
476000 -480
476250 -480
476500 -480
476750 -480
477000 -480
477250 -482.5
477500 -485
477750 -487.5
478000 -490
478250 -490
478500 -490
478750 -490
479000 -490
479250 -490
479500 -490
479750 -490
480000 -490
480250 -492.5
480500 -495
480750 -497.5
481000 -500
481250 -500
481500 -500
481750 -500
482000 -500
482250 -500
482500 -500
482750 -500
483000 -500
483250 -502.5
483500 -505
483750 -507.5
484000 -510
484250 -510
484500 -510
484750 -510
485000 -510
485250 -510
485500 -510
485750 -510
486000 -510
486250 -510
486500 -510
486750 -510
487000 -510
487250 -510
487500 -510
487750 -510
488000 -510
488250 -512.5
488500 -515
488750 -517.5
489000 -520
489250 -520
489500 -520
489750 -520
490000 -520
490250 -522.5
490500 -525
490750 -527.5
491000 -530
491250 -530
491500 -530
491750 -530
492000 -530
492250 -530
492500 -530
492750 -530
493000 -530
493250 -532.5
493500 -535
493750 -537.5
494000 -540
494250 -540
494500 -540
