# Moho depth
# POINTS: 2001
186750 8674.83
187000 8701.2
187250 8728.88
187500 8756.55
187750 8784.22
188000 8811.9
188250 8840.92
188500 8869.95
188750 8898.98
189000 8928
189250 8958.02
189500 8988.05
189750 9018.08
190000 9048.1
190250 9079.15
190500 9110.2
190750 9141.25
191000 9172.3
191250 9204.75
191500 9237.2
191750 9269.65
192000 9302.1
192250 9335.95
192500 9369.8
192750 9403.65
193000 9437.5
193250 9472.75
193500 9508
193750 9543.25
194000 9578.5
194250 9615.15
194500 9651.8
194750 9688.45
195000 9725.1
195250 9763.08
195500 9801.05
195750 9839.02
196000 9877
196250 9915.75
196500 9954.5
196750 9993.25
197000 10032
197250 10071.8
197500 10111.5
197750 10151.3
198000 10191
198250 10231.5
198500 10272
198750 10312.5
199000 10353
199250 10394.8
199500 10436.5
199750 10478.3
200000 10520
200250 10563
200500 10606
200750 10649
201000 10692
201250 10735.8
201500 10779.5
201750 10823.3
202000 10867
202250 10911
202500 10955
202750 10999
203000 11043
203250 11087
203500 11131
203750 11175
204000 11219
204250 11263.8
204500 11308.5
204750 11353.3
205000 11398
205250 11443.5
205500 11489
205750 11534.5
206000 11580
206250 11625.8
206500 11671.5
206750 11717.3
207000 11763
207250 11809.3
207500 11855.5
207750 11901.8
208000 11948
208250 11993.3
208500 12038.5
208750 12083.8
209000 12129
209250 12174.5
209500 12220
209750 12265.5
210000 12311
210250 12356.5
210500 12402
210750 12447.5
211000 12493
211250 12538.5
211500 12584
211750 12629.5
212000 12675
212250 12720.3
212500 12765.5
212750 12810.8
213000 12856
213250 12900.5
213500 12945
213750 12989.5
214000 13034
214250 13077.5
214500 13121
214750 13164.5
215000 13208
215250 13251
215500 13294
215750 13337
216000 13380
216250 13422.8
216500 13465.5
216750 13508.3
217000 13551
217250 13592.8
217500 13634.5
217750 13676.3
218000 13718
218250 13759
218500 13800
218750 13841
219000 13882
219250 13921.3
219500 13960.5
219750 13999.8
220000 14039
220250 14076.8
220500 14114.5
220750 14152.3
221000 14190
221250 14226.8
221500 14263.5
221750 14300.3
222000 14337
222250 14372.5
222500 14408
222750 14443.5
223000 14479
223250 14512.8
223500 14546.5
223750 14580.3
224000 14614
224250 14646.3
224500 14678.5
224750 14710.8
225000 14743
225250 14773.3
225500 14803.5
225750 14833.8
226000 14864
226250 14892
226500 14920
226750 14948
227000 14976
227250 15001.5
227500 15027
227750 15052.5
228000 15078
228250 15101.3
228500 15124.5
228750 15147.8
229000 15171
229250 15192
229500 15213
229750 15234
230000 15255
230250 15273.5
230500 15292
230750 15310.5
231000 15329
231250 15344.5
231500 15360
231750 15375.5
232000 15391
232250 15403.8
232500 15416.5
232750 15429.3
233000 15442
233250 15451.8
233500 15461.5
233750 15471.3
234000 15481
234250 15487.8
234500 15494.5
234750 15501.3
235000 15508
235250 15511.3
235500 15514.5
235750 15517.8
236000 15521
236250 15521.3
236500 15521.5
236750 15521.8
237000 15522
237250 15518.8
237500 15515.5
237750 15512.3
238000 15509
238250 15502.3
238500 15495.5
238750 15488.8
239000 15482
239250 15471.8
239500 15461.5
239750 15451.3
240000 15441
240250 15427.3
240500 15413.5
240750 15399.8
241000 15386
241250 15368.8
241500 15351.5
241750 15334.3
242000 15317
242250 15296.5
242500 15276
242750 15255.5
243000 15235
243250 15211
243500 15187
243750 15163
244000 15139
244250 15112
244500 15085
244750 15058
245000 15031
245250 15000.5
245500 14970
245750 14939.5
246000 14909
246250 14875
246500 14841
246750 14807
247000 14773
247250 14736.3
247500 14699.5
247750 14662.8
248000 14626
248250 14586.3
248500 14546.5
248750 14506.8
249000 14467
249250 14425
249500 14383
249750 14341
250000 14299
250250 14254.5
250500 14210
250750 14165.5
251000 14121
251250 14074.8
251500 14028.5
251750 13982.3
252000 13936
252250 13886.8
252500 13837.5
252750 13788.3
253000 13739
253250 13688.3
253500 13637.5
253750 13586.8
254000 13536
254250 13483.8
254500 13431.5
254750 13379.3
255000 13327
255250 13273.8
255500 13220.5
255750 13167.3
256000 13114
256250 13060
256500 13006
256750 12952
257000 12898
257250 12842
257500 12786
257750 12730
258000 12674
258250 12618
258500 12562
258750 12506
259000 12450
259250 12393.8
259500 12337.5
259750 12281.3
260000 12225
260250 12168.8
260500 12112.5
260750 12056.3
261000 12000
261250 11943.3
261500 11886.5
261750 11829.8
262000 11773
262250 11716.3
262500 11659.5
262750 11602.8
263000 11546
263250 11490.3
263500 11434.5
263750 11378.8
264000 11323
264250 11268
264500 11213
264750 11158
265000 11103
265250 11048.5
265500 10994
265750 10939.5
266000 10885
266250 10831
266500 10777
266750 10723
267000 10669
267250 10616
267500 10563
267750 10510
268000 10457
268250 10405.8
268500 10354.5
268750 10303.3
269000 10252
269250 10202.3
269500 10152.5
269750 10102.8
270000 10053
270250 10004.1
270500 9955.15
270750 9906.22
271000 9857.3
271250 9809.7
271500 9762.1
271750 9714.5
272000 9666.9
272250 9621.13
272500 9575.35
272750 9529.57
273000 9483.8
273250 9439.8
273500 9395.8
273750 9351.8
274000 9307.8
274250 9265.7
274500 9223.6
274750 9181.5
275000 9139.4
275250 9099.07
275500 9058.75
275750 9018.43
276000 8978.1
276250 8938.9
276500 8899.7
276750 8860.5
277000 8821.3
277250 8784
